epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3393.61,1.49261,1.00499,0.01543,0.8337,0.77902,0.83095,0.45567,1.60597,0.81279,0.01901,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3498.6,1.49216,1.00841,0.01539,0.85092,0.78714,0.84207,0.49069,1.53746,0.75602,0.018,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3604.06,1.476,0.98837,0.01524,0.85164,0.8057,0.85201,0.49977,1.53527,0.74797,0.0177,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3709.44,1.47749,0.98871,0.01518,0.8779,0.78443,0.8564,0.485,1.54046,0.73989,0.01794,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3814.91,1.46607,0.96712,0.01507,0.86631,0.80854,0.85919,0.49326,1.53545,0.73212,0.01775,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3919.42,1.46953,0.95257,0.01503,0.87077,0.79141,0.85745,0.50738,1.51983,0.70305,0.01765,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4024.75,1.46393,0.93748,0.01487,0.86968,0.80843,0.87513,0.51549,1.50634,0.68903,0.0173,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4129.74,1.46022,0.93956,0.01506,0.86257,0.80913,0.8618,0.5063,1.50867,0.69849,0.01741,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4236.83,1.46071,0.94018,0.01483,0.87432,0.81576,0.86967,0.51009,1.48386,0.68558,0.01703,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4343.6,1.43929,0.93646,0.0147,0.86521,0.80934,0.85784,0.50086,1.51355,0.68716,0.01737,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4451.53,1.43604,0.93744,0.01457,0.86115,0.81149,0.86678,0.50857,1.48357,0.70555,0.01709,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4558.61,1.44243,0.92034,0.01465,0.87113,0.8075,0.87101,0.52304,1.47422,0.65011,0.01689,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4666.51,1.42301,0.90506,0.01456,0.85915,0.79305,0.86524,0.51344,1.47892,0.68529,0.01683,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4774.62,1.4181,0.90957,0.0145,0.85043,0.82116,0.86491,0.50446,1.49337,0.68799,0.01691,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4882.91,1.42262,0.89202,0.01433,0.85839,0.8005,0.86065,0.50585,1.50622,0.67548,0.01715,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4988.35,1.4124,0.88472,0.01441,0.88426,0.80023,0.87759,0.52043,1.46397,0.65843,0.01678,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5093.06,1.40723,0.88467,0.01418,0.8577,0.813,0.87213,0.52442,1.47217,0.66176,0.01666,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5197.73,1.39698,0.87346,0.01408,0.88798,0.80849,0.8801,0.53056,1.45484,0.64814,0.0164,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
