epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2977.9,1.35571,0.95396,1.22861,0.82988,0.7576,0.82531,0.47064,1.50837,0.89993,1.27328,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3072.58,1.34419,0.93801,1.22673,0.80724,0.81351,0.8467,0.48304,1.46353,0.84677,1.26279,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3165.93,1.35181,0.93703,1.22605,0.8295,0.77837,0.84306,0.47999,1.47611,0.85342,1.25892,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3258.59,1.34249,0.92938,1.21973,0.81228,0.77522,0.82635,0.45534,1.4698,0.84833,1.25756,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3351.77,1.33487,0.91487,1.21536,0.86922,0.78555,0.8531,0.50112,1.42116,0.79455,1.23049,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3445.96,1.33061,0.90754,1.21445,0.84019,0.76271,0.83998,0.47037,1.48051,0.84971,1.26102,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3538.96,1.32408,0.90651,1.20993,0.83056,0.7894,0.83486,0.48017,1.4463,0.80732,1.24685,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3631.24,1.32424,0.90192,1.20911,0.84795,0.77844,0.84278,0.48132,1.46806,0.80919,1.25174,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3723.47,1.31004,0.88985,1.20278,0.84545,0.79538,0.85691,0.48144,1.45888,0.80118,1.25708,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3817.2,1.31808,0.89521,1.20498,0.85958,0.79056,0.85946,0.49382,1.43162,0.77911,1.22872,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3910.5,1.30007,0.88022,1.19652,0.8281,0.81731,0.8617,0.50155,1.41129,0.77599,1.22908,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4004.01,1.30776,0.87696,1.19386,0.85074,0.79717,0.86753,0.50932,1.41973,0.76613,1.22782,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4097.26,1.28884,0.86847,1.19456,0.84079,0.81791,0.86958,0.50361,1.41799,0.77133,1.23203,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4191.8,1.28548,0.861,1.18867,0.85365,0.77334,0.84603,0.47486,1.46515,0.78369,1.25357,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4285.43,1.27995,0.85514,1.18286,0.84557,0.81058,0.8724,0.51734,1.388,0.74836,1.2054,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4378.79,1.27613,0.85273,1.18299,0.83922,0.82482,0.87375,0.51147,1.38923,0.73778,1.2165,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4472.03,1.26356,0.84559,1.17885,0.86863,0.8115,0.88104,0.52038,1.38927,0.74474,1.21409,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4566.69,1.2683,0.83591,1.17741,0.85519,0.80166,0.87069,0.49657,1.43496,0.74637,1.23678,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4660.14,1.26355,0.82963,1.17417,0.85353,0.82333,0.87561,0.50982,1.38332,0.73972,1.21583,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4753.19,1.25278,0.83515,1.17265,0.88942,0.77857,0.86997,0.51829,1.37893,0.72563,1.20068,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4846.1,1.24935,0.81798,1.17285,0.83515,0.82377,0.86968,0.51672,1.37216,0.72123,1.2037,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4938.61,1.25081,0.81604,1.16929,0.85806,0.80883,0.87017,0.5183,1.37252,0.71254,1.19974,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5032.51,1.24273,0.814,1.16167,0.86355,0.81539,0.87635,0.50933,1.40737,0.72851,1.22211,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5124.94,1.24394,0.81147,1.1598,0.86207,0.83633,0.8856,0.52628,1.36817,0.70188,1.20085,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5217.59,1.23213,0.79782,1.1561,0.85659,0.83051,0.88583,0.52865,1.35657,0.70931,1.18491,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5310.59,1.23152,0.80116,1.15614,0.86485,0.81556,0.88538,0.52984,1.36285,0.71559,1.18529,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5407.67,1.22927,0.78892,1.15214,0.84551,0.85376,0.89082,0.52441,1.37173,0.70259,1.19469,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5502.24,1.20743,0.78071,1.14855,0.84906,0.83182,0.87789,0.51701,1.3663,0.7013,1.19984,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5596.38,1.21821,0.78048,1.153,0.84009,0.84273,0.88032,0.54327,1.34024,0.69019,1.18291,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5692.08,1.2118,0.77641,1.14843,0.83709,0.8476,0.88912,0.53175,1.34123,0.68177,1.17831,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5786.28,1.20207,0.77127,1.14464,0.85229,0.84076,0.88199,0.53328,1.34213,0.67844,1.1833,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5880.05,1.19181,0.76476,1.13737,0.83851,0.84749,0.88619,0.53369,1.33537,0.67889,1.17614,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5973.46,1.19425,0.76636,1.13958,0.8436,0.82089,0.87414,0.52383,1.36785,0.6932,1.19018,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6068.52,1.18358,0.76365,1.13296,0.85539,0.8166,0.87571,0.52909,1.34847,0.68507,1.18653,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6164.75,1.1919,0.75811,1.13347,0.85838,0.81441,0.88088,0.52943,1.33549,0.67503,1.17538,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6260.08,1.17936,0.75295,1.13363,0.8506,0.80095,0.87753,0.52728,1.34479,0.68371,1.18287,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6357.96,1.16924,0.74415,1.1256,0.85369,0.82765,0.88085,0.53495,1.33286,0.66294,1.17363,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6453.75,1.17624,0.74494,1.12615,0.85082,0.85186,0.88542,0.53482,1.32813,0.66994,1.1775,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
